project,true_star,true_watcher,true_committer,true_community,true_pdp
10011564,1,1,3,4,TRUE
1004113,24,13,1,1,TRUE
1005526,14,9,3,3,TRUE
1006068,14,10,6,6,FALSE
1006368,2,2,1,1,TRUE
10069119,2,1,1,1,FALSE
1007802,4,2,1,2,TRUE
10080757,1,1,1,1,FALSE
1008718,13,12,10,14,TRUE
100977,5,7,3,3,FALSE
1010174,14,13,4,4,TRUE
1011277,252,190,18,26,TRUE
1011868,5,0,2,2,TRUE
1012996,4,2,1,1,TRUE
1013374,6,2,1,1,TRUE
1013789,7,1,1,1,TRUE
10159505,1,1,2,2,TRUE
1017345,5,4,1,1,TRUE
10174123,0,0,1,3,TRUE
1017969,7,5,1,3,TRUE
1018525,1,1,1,1,FALSE
1018557,19,17,1,2,TRUE
1018907,2,2,11,11,TRUE
1019458,3,4,2,2,FALSE
102011,89,79,22,34,TRUE
10203483,3,2,2,2,FALSE
1020349,1,0,1,1,TRUE
102072,1,1,2,2,TRUE
1021714,28,1,1,2,TRUE
1024776,34,27,15,16,TRUE
1025362,1,0,2,2,TRUE
10262234,1,1,1,1,FALSE
1028255,1,1,3,3,FALSE
10286923,1,1,1,1,TRUE
102881,2,3,6,6,TRUE
1029559,3,3,6,6,TRUE
103046,7,5,2,2,FALSE
1031114,36,32,2,2,TRUE
10316837,1,3,1,1,TRUE
103226,1,1,3,3,TRUE
1034978,15,1,1,1,TRUE
1035331,31,30,1,1,TRUE
1035940,15,16,6,7,TRUE
1036371,18,13,3,4,TRUE
1036718,4,1,1,1,FALSE
1037852,1,1,1,1,FALSE
10382785,2,2,3,3,TRUE
103869,6,5,1,1,FALSE
10387858,0,2,4,4,TRUE
103887,0,1,2,2,TRUE
1039523,0,2,2,2,TRUE
1039689,15,7,6,8,TRUE
1040233,5,2,2,2,TRUE
104057,5,5,3,3,FALSE
10408367,0,0,3,3,FALSE
10413404,1,1,1,1,TRUE
1041628,0,1,3,3,FALSE
1042495,9,1,5,6,TRUE
10425646,1,1,1,1,TRUE
10437,160,145,8,15,TRUE
10446,15,14,7,8,TRUE
10458,3,3,4,4,TRUE
10461486,1,1,1,2,TRUE
104688,1,1,1,1,FALSE
10472425,48,2,35,37,TRUE
1049919,8,1,4,5,TRUE
1050616,21,14,5,5,TRUE
1052575,4,0,1,1,TRUE
1052768,20,16,3,6,TRUE
1053045,12,5,1,1,TRUE
1053329,2,0,2,2,TRUE
10538119,3,3,1,25,TRUE
1053840,14,5,2,2,FALSE
10540346,1,1,41,41,TRUE
1054456,41,6,2,2,TRUE
1055056,3,0,1,1,TRUE
1055061,2,0,1,1,TRUE
1055066,3,0,1,1,TRUE
1055163,3,1,1,1,TRUE
1055268,15,3,17,18,TRUE
1055659,6,3,1,1,TRUE
105653,1,1,3,3,FALSE
1057284,2,0,1,1,TRUE
105895,0,1,3,18,TRUE
1059011,3,0,5,5,TRUE
10594552,12,9,4,5,FALSE
105973,10,11,9,12,TRUE
106026,1,1,4,4,TRUE
106099,117,81,52,60,FALSE
1061608,22,15,3,3,TRUE
1062908,11,5,1,1,TRUE
1063328,0,1,7,11,TRUE
1063397,2,1,3,3,FALSE
1064160,2,0,2,2,FALSE
106506,1,1,1,1,TRUE
10653598,0,0,5,82,FALSE
1065425,1,0,1,1,TRUE
1067461,12,7,4,4,FALSE
1067668,82,70,1,3,TRUE
10681,78,72,10,17,TRUE
1069769,5,2,5,5,TRUE
1070071,3,0,1,1,FALSE
107161,1,1,1,1,TRUE
1071668,2,0,1,1,TRUE
1071824,5,3,1,1,TRUE
1072215,2,0,1,1,TRUE
107268,1,1,1,1,TRUE
1072685,9,2,1,1,TRUE
10728512,2,2,1,1,TRUE
1073041,3,0,1,1,FALSE
1073502,2,0,2,2,TRUE
107361,233,119,4,10,TRUE
1073763,3,1,2,2,TRUE
1074434,21,17,1,1,TRUE
1075484,15,9,4,5,TRUE
1075902,5,1,1,1,TRUE
10769129,1,1,1,1,TRUE
1076914,2,0,2,2,TRUE
1078426,4,0,1,1,TRUE
10785517,4,3,2,2,TRUE
10789193,0,0,1,1,TRUE
1079220,9,4,3,3,TRUE
1079988,10,9,2,2,TRUE
108175,1,1,1,1,FALSE
10820683,0,0,2,2,TRUE
1082097,1,0,1,1,TRUE
1082517,59,50,2,2,FALSE
1083102,9,4,3,3,TRUE
1083456,17,14,6,8,TRUE
1083597,12,1,1,2,FALSE
1084529,4,1,3,3,TRUE
1084691,20,8,1,1,TRUE
108532,7,7,1,1,TRUE
1085386,10,6,6,7,TRUE
108551,261,83,13,52,TRUE
108597,4,4,2,2,TRUE
1086746,6,1,1,1,TRUE
10872764,0,0,3,3,FALSE
1087530,21,6,1,1,TRUE
1087701,1,0,1,1,TRUE
1088384,14,50,15,17,TRUE
10899173,0,0,2,2,FALSE
10901799,1,1,1,1,TRUE
10903380,1,1,1,1,FALSE
1091871,2,0,2,2,TRUE
1092869,1,0,1,1,TRUE
1094123,48,30,3,10,TRUE
1094185,7,0,1,1,FALSE
10943138,8,3,1,1,FALSE
10944693,8,8,1,1,FALSE
1094879,52,50,5,5,TRUE
1096098,10,9,1,1,TRUE
1097577,14,9,2,2,TRUE
1098096,13,4,1,1,TRUE
10985498,0,0,1,13,FALSE
1099212,23,4,1,1,TRUE
1099461,6,3,2,2,TRUE
1100533,10,3,2,3,TRUE
1101227,4,0,1,1,TRUE
1101632,3,0,1,1,FALSE
1102669,4,0,1,1,TRUE
1102681,2,0,1,1,TRUE
11036506,2978,2286,255,789,TRUE
110377,3,2,3,3,FALSE
110452,53,50,1,1,TRUE
1105784,3,0,1,1,TRUE
11061963,0,0,1,1,FALSE
11072200,14,15,2,2,TRUE
11076154,0,0,7,7,FALSE
1108941,6,4,1,1,TRUE
1109401,10,0,2,2,TRUE
1111241,20,14,6,7,TRUE
11127537,1,1,15,15,TRUE
111330,1,1,3,3,FALSE
1113553,9,1,1,1,TRUE
11139847,1,1,1,1,FALSE
1114306,8,5,1,1,FALSE
1114841,4,0,1,1,TRUE
111505,1,1,1,1,FALSE
1115271,4,1,2,2,FALSE
1115437,9,5,1,1,TRUE
111592,19,18,5,6,TRUE
11168102,5,6,3,3,TRUE
11169566,2,2,1,1,TRUE
1117817,3,0,2,2,TRUE
1118595,23,21,4,9,TRUE
11186,424,311,112,154,TRUE
111912,1,4,3,5,TRUE
1119296,5,1,1,1,FALSE
1119319,1,0,1,1,TRUE
111975,1,1,2,2,TRUE
1120024,18,14,1,1,FALSE
11203091,39,14,2,2,TRUE
1120692,4,1,3,3,FALSE
1120860,5,2,1,1,TRUE
112221,12,13,3,5,TRUE
112761,2,3,2,2,FALSE
1128424,24,14,2,2,TRUE
11286488,1,1,2,2,FALSE
1129000,6,3,1,1,TRUE
1129054,4,1,1,1,TRUE
11295,19,17,14,17,TRUE
1129600,2,0,1,1,TRUE
113002,25,20,1,1,TRUE
113117,18,16,1,1,TRUE
1131187,10,4,2,4,TRUE
11317079,0,0,4,4,FALSE
1132811,6,1,1,2,TRUE
113308,14,4,4,4,TRUE
113369,25,24,2,2,TRUE
11351,72,61,46,50,FALSE
11358788,0,0,2,2,FALSE
1136862,3,1,1,1,FALSE
1137043,4,0,1,1,TRUE
113814,7,7,1,2,TRUE
11382077,3,4,5,5,FALSE
1141521,5,2,1,1,TRUE
1141845,10,6,1,1,FALSE
114191,11,13,2,2,TRUE
1142222,2,0,3,3,TRUE
114337,1,1,2,3,TRUE
1143406,3,2,2,2,FALSE
1143679,39,33,13,20,TRUE
1144187,3,1,1,1,TRUE
114429,5,5,1,1,TRUE
11451362,0,1,2,2,FALSE
114572,34,24,1,2,TRUE
11466404,0,0,2,7,FALSE
1147125,1,7,1,1,FALSE
1149015,5,2,1,1,TRUE
1149246,2,0,2,2,TRUE
1149471,1,0,1,1,TRUE
1149527,6,1,1,1,FALSE
1152482,3,0,2,2,TRUE
1152791,1,0,2,2,TRUE
11537206,14,7,1,1,FALSE
11547285,7,4,12,14,FALSE
1155485,6,1,1,1,TRUE
11573959,4,0,6,37,TRUE
1158794,11,6,2,2,FALSE
11590827,7,5,14,17,FALSE
1159484,5,1,2,3,FALSE
1160846,15,12,1,2,TRUE
1161514,5,1,1,1,TRUE
1161585,2,0,4,4,FALSE
1161921,10,7,3,3,TRUE
116389,2,2,1,1,TRUE
116458,1,1,1,1,FALSE
11656006,271,274,46,83,FALSE
